馬ID,父,父系,母,母系,母父,母父系
2015101626,StreetCry(愛),Mr.Prospector系,タクトフリーTactfully(愛),FNo.[1-n],ディスクリートキャットDiscreetCat(米),不明
2015101645,ディープスカイ,Halo系,パラフレーズParaphrase(英),FNo.[22-b],Pivotal,不明
2015101654,ステイゴールド,Halo系,ブリクセンBlixen(米),FNo.[10-c],GoneWest,不明
2015101660,Dubawi,Mr.Prospector系,ポップアイコン,FNo.[1-l],ダイワメジャー,不明
2015101702,スクリーンヒーロー,Roberto系,メイクデュース,FNo.[23-b],トウカイテイオー,不明
2015101707,スクリーンヒーロー,Roberto系,メジロフランシス,FNo.[10-d],カーネギーCarnegie(愛),不明
2015101771,タイキシャトル,Halo系,カナエチャン,FNo.[22],マンハッタンカフェ,不明
2015101785,リーチザクラウン,Halo系,ニシノマザーアース,FNo.[12-c],ブライアンズタイムBrian'sTime(米),不明
2015101786,クロフネ,DeputyMinister系,ニシノモレッタ,FNo.[2-i],タイキシャトル,不明
2015101804,ローズキングダム,Mr.Prospector系,スタイルオブメロン,FNo.[1-b],メジロマックイーン,不明
2015101835,アーネストリー,Roberto系,パンテール,FNo.[2-m],ダンスインザダーク,不明
2015101855,シニスターミニスターSinisterMinister(米),SeattleSlew系,ハルジオン,FNo.[6-a],ティンバーカントリーTimberCountry(米),不明
2015101903,ストロングリターン,Roberto系,デルマアマノジャク,FNo.[16-h],オンファイア,不明
2015101929,ブラックタキシード,Halo系,テールバインダー,FNo.[3-o],カコイーシーズCacoethes(米),不明
2015101960,アイルハヴアナザーI'llHaveAnother(米),Mr.Prospector系,カメリアビジュ,FNo.[2-n],フジキセキ,不明
2015102013,ゴールドアリュール,Halo系,クリノビリオネア,FNo.[7-c],ディアブロDiablo(米),不明
2015102018,ロージズインメイRosesinMay(米),Halo系,シセイヒミコ,FNo.[13-a],ダンスインザダーク,不明
2015102038,ロードカナロア,Mr.Prospector系,ショウサンミーベル,FNo.[5-f],フジキセキ,不明
2015102127,モンテロッソMonterosso(英),Mr.Prospector系,スズカグレイス,FNo.[9],サンデーサイレンスSundaySilence(米),不明
2015102130,キングヘイロー,Lyphard系,ニホンピロコナユキ,FNo.[1-o],ニホンピロニール,不明
2015102211,ロードカナロア,Mr.Prospector系,ブランシェール,FNo.[5-f],ディープインパクト,不明
2015102215,エスポワールシチー,Halo系,ヤマトマリオン,FNo.[4-r],オペラハウスOperaHouse(英),不明
2015102297,ヨハネスブルグJohannesburg(米),StormBird系,メアリーズガーデン,FNo.[2-i],ファルブラヴFalbrav(愛),不明
2015102321,HardSpun(米),Danzig系,ミスフーバフーバMissHubaHuba(米),FNo.[23-b],GoneWest,不明
2015102390,ハーツクライ,Halo系,レディマーメイド,FNo.[25],FusaichiPegasus,不明
2015102391,ロードカナロア,Mr.Prospector系,レディルージュ,FNo.[2-p],ブライアンズタイムBrian'sTime(米),不明
2015102403,サウスヴィグラス,Mr.Prospector系,エフテーストライク,FNo.[19-c],ブラックタキシード,不明
2015102499,ハーツクライ,Halo系,ノータブルアート,FNo.[A4],ブライアンズタイムBrian'sTime(米),不明
2015102558,ハーツクライ,Halo系,トウカイミステリー,FNo.[2-d],キングカメハメハ,不明
2015102637,ネオユニヴァース,Halo系,レディーメグネイト,FNo.[1-p],ファスリエフFasliyev(米),不明
2015102639,パイロPyro(米),SeattleSlew系,オーゴンサンデー,FNo.[19-b],マーベラスサンデー,不明
2015102735,ジャングルポケット,ゼダーン系,アドマイヤパンチ,FNo.[1-l],ワイルドラッシュWildRush(米),不明
2015102743,オルフェーヴル,Halo系,クリノビスケット,FNo.[7-c],パラダイスクリークParadiseCreek(米),不明
2015102745,ディープインパクト,Halo系,ユニバーサル,FNo.[1-k],ブライアンズタイムBrian'sTime(米),不明
2015102764,ドリームジャーニー,Halo系,ヴィーヴァレジーナ,FNo.[7-c],キングカメハメハ,不明
2015102824,クロフネ,DeputyMinister系,メイショウユウダチ,FNo.[9-c],メイショウボーラー,不明
2015102942,バゴBago(仏),BlushingGroom系,ラクスクライン,FNo.[1-n],ステイゴールド,不明
2015102979,フリオーソ,Roberto系,ラメント,FNo.[4-k],アドマイヤムーン,不明
2015102991,ロードカナロア,Mr.Prospector系,シャペロンルージュ,FNo.[16-g],サクラバクシンオー,不明
2015103047,アドマイヤコジーン,Caro系,リネンパズル,FNo.[13-c],パラダイスクリークParadiseCreek(米),不明
2015103048,ナカヤマフェスタ,Halo系,ディアマンボウ,FNo.[1-m],サウスヴィグラス,不明
2015103057,ロードカナロア,Mr.Prospector系,トゥハーモニー,FNo.[2-d],サンデーサイレンスSundaySilence(米),不明
2015103079,ルーラーシップ,Mr.Prospector系,ウォータープレミア,FNo.[14-a],ネオユニヴァース,不明
2015103109,サウスヴィグラス,Mr.Prospector系,メイショウヒミコ,FNo.[9-b],ElusiveQuality,不明
2015103138,ダイワメジャー,Halo系,オリジナルスピンOriginalSpin(愛),FNo.[22-a],Machiavellian,不明
2015103151,ハーツクライ,Halo系,ドリームオブジェニーDreamofGenie(仏),FNo.[2-d],Pivotal,不明
2015103210,スズカフェニックス,Halo系,スズカフォイル,FNo.[9-e],フレンチデピュティFrenchDeputy(米),不明
2015103213,ロードカナロア,Mr.Prospector系,スズカローラン,FNo.[1-t],サンデーサイレンスSundaySilence(米),不明
2015103217,オルフェーヴル,Halo系,ティックルピンク,FNo.[2-n],フレンチデピュティFrenchDeputy(米),不明
2015103228,ヘニーヒューズHennyHughes(米),StormBird系,ラビアンローズ,FNo.[14-c],スペシャルウィーク,不明
2015103247,ロードカナロア,Mr.Prospector系,メイショウアンデス,FNo.[7-f],ダンスインザダーク,不明
2015103248,アイルハヴアナザーI'llHaveAnother(米),Mr.Prospector系,メイショウワカツキ,FNo.[9-e],マンハッタンカフェ,不明
2015103306,メイショウサムソン,sWells系,マミモナ,FNo.[10],ダンスインザダーク,不明
2015103340,ダイワメジャー,Halo系,アルペンローズAlpineRose(米),FNo.[A4],KrisS.,不明
2015103344,ノヴェリストNovellist(愛),Blandford系,エリモフィナーレ,FNo.[2-d],サンデーサイレンスSundaySilence(米),不明
2015103357,ヴィクトワールピサ,Halo系,ダンシングブルーム,FNo.[8-c],コマンダーインチーフCommanderinChief(英),不明
2015103366,ディープインパクト,Halo系,マイグッドネス,FNo.[9-f],StormCat(米),不明
2015103374,パイロPyro(米),SeattleSlew系,メイショウガンツ,FNo.[3-h],ダイワメジャー,不明
2015103377,タートルボウルTurtleBowl(愛),NorthernDancer系,メイショウチルチェ,FNo.[21-a],キングカメハメハ,不明
2015103391,メイショウボーラー,Halo系,クールリーヴ,FNo.[8-k],ブライアンズタイムBrian'sTime(米),不明
2015103393,ネオユニヴァース,Halo系,ソフィアルージュ,FNo.[8-f],クロフネ,不明
2015103419,モンテロッソMonterosso(英),Mr.Prospector系,クレバーダンス,FNo.[16-c],ダンスインザダーク,不明
2015103452,ロードカナロア,Mr.Prospector系,ギンザボナンザ,FNo.[14-c],ゼンノロブロイ,不明
2015103488,モンテロッソMonterosso(英),Mr.Prospector系,シゲルエスペレ,FNo.[5-j],ダンスインザダーク,不明
2015103494,ネオユニヴァース,Halo系,レディークライスト,FNo.[20-b],HolyBull(米),不明
2015103535,ロードカナロア,Mr.Prospector系,モンクール,FNo.[5-g],ディープインパクト,不明
2015103578,ルーラーシップ,Mr.Prospector系,アグネスワルツ,FNo.[22],ゼンノロブロイ,不明
2015103616,メイショウボーラー,Halo系,マンハッタンミート,FNo.[4-d],マンハッタンカフェ,不明
2015103627,オルフェーヴル,Halo系,ナナヨーティアラ,FNo.[3-l],マイネルラヴ,不明
2015103675,ヨハネスブルグJohannesburg(米),StormBird系,ダイワエタニティー,FNo.[4-d],ジャングルポケット,不明
2015103677,アグネスデジタル,Mr.Prospector系,パールイアリング,FNo.[12-c],スペシャルウィーク,不明
2015103845,ヨハネスブルグJohannesburg(米),StormBird系,ロスグラシアレス,FNo.[A4],シンボリクリスエス,不明
2015103867,プリサイスエンドPreciseEnd(米),Mr.Prospector系,ヴァップ,FNo.[21-a],ストーミングホームStormingHome(英),不明
2015103875,モンテロッソMonterosso(英),Mr.Prospector系,デイドリーマー,FNo.[2-f],ネオユニヴァース,不明
2015103930,バゴBago(仏),BlushingGroom系,バイオレントハート,FNo.[22],ダンスインザダーク,不明
2015103983,サクラオールイン,Halo系,クールダウン,FNo.[5-g],シャンハイShanghai(米),不明
2015104010,ブラックタイド,Halo系,フィールザビュウ,FNo.[7],DistantView,不明
2015104047,トーセンホマレボシ,Halo系,ウィストラム,FNo.[14-f],フレンチデピュティFrenchDeputy(米),不明
2015104053,ヘニーヒューズHennyHughes(米),StormBird系,プントバンコ,FNo.[10-a],フジキセキ,不明
2015104063,ディープインパクト,Halo系,メジロツボネ,FNo.[9-f],スウェプトオーヴァーボードSweptOverboard(米),不明
2015104066,ノヴェリストNovellist(愛),Blandford系,メジロマリアン,FNo.[17-b],メジロベイリー,不明
2015104090,ディープインパクト,Halo系,クリームオンリーCreamOnly(米),FNo.[4-r],ExchangeRate,不明
2015104107,ハーツクライ,Halo系,タイムトラベリング,FNo.[14],ブライアンズタイムBrian'sTime(米),不明
2015104131,ダイワメジャー,Halo系,フェアリーワルツ,FNo.[A1],LearFan,不明
2015104138,ステイゴールド,Halo系,マンティスハント,FNo.[2-b],DeputyMinister,不明
2015104144,ディープインパクト,Halo系,メダリアダムールMedagliad'Amour(米),FNo.[6],Medagliad'Oro,不明
2015104161,エイシンフラッシュ,Mr.Prospector系,ロフティーエイム,FNo.[2-b],サンデーサイレンスSundaySilence(米),不明
2015104186,ディープインパクト,Halo系,ソベラニアSoberania(独),FNo.[28],Monsun,不明
2015104227,ノヴェリストNovellist(愛),Blandford系,イタリアンレッド,FNo.[20-c],ネオユニヴァース,不明
2015104270,ロードカナロア,Mr.Prospector系,オメガグレイス,FNo.[1-l],サンデーサイレンスSundaySilence(米),不明
2015104273,スウェプトオーヴァーボードSweptOverboard(米),Mr.Prospector系,オメガフレグランス,FNo.[14-c],ゴールドアリュール,不明
2015104287,ステイゴールド,Halo系,カウアイレーン,FNo.[5-g],キングカメハメハ,不明
2015104300,ハービンジャーHarbinger(英),Danzig系,クイーンアイリス,FNo.[4-r],ダンスインザダーク,不明
2015104317,ディープインパクト,Halo系,コンテスティッドContested(米),FNo.[22],Ghostzapper,不明
2015104347,キンシャサノキセキ,Halo系,シルヴァーカップSilverCup(愛),FNo.[9-c],Almutawakel,不明
2015104349,オルフェーヴル,Halo系,シンディSindy(米),FNo.[23-a],A.P.Indy,不明
2015104364,ドリームジャーニー,Halo系,ジャジャマーチャン,FNo.[2-n],アドマイヤコジーン,不明
2015104367,シンボリクリスエス,Roberto系,ジャドール,FNo.[5-d],フジキセキ,不明
2015104384,キングカメハメハ,Mr.Prospector系,スモークンフローリックSmok'nFrolic(米),FNo.[1-x],SmokeGlacken,不明
2015104412,ヴィクトワールピサ,Halo系,ダルシャDarsha(仏),FNo.[1-e],Sakhee(米),不明
2015104417,ロードカナロア,Mr.Prospector系,ダンスオンザルーフ,FNo.[7],シンボリクリスエス,不明
2015104456,ディープインパクト,Halo系,ハウオリ,FNo.[12-c],キングカメハメハ,不明
2015104512,ステイゴールド,Halo系,ブルーミングアレー,FNo.[17-b],シンボリクリスエス,不明
2015104514,ストロングリターン,Roberto系,ブロンドヒロイン,FNo.[1-x],グラスワンダー,不明
2015104526,ハーツクライ,Halo系,ベイトゥベイBaytoBay(米),FNo.[42],SligoBay,不明
2015104528,ヴィクトワールピサ,Halo系,ベストロケーション,FNo.[1-x],クロフネ,不明
2015104549,ハーツクライ,Halo系,マリアロワイヤルMariaRoyal(愛),FNo.[13-c],Montjeu(愛),不明
2015104567,オルフェーヴル,Halo系,ミセススノーMrsSnow(英),FNo.[21-a],Singspiel(愛),不明
2015104571,キングカメハメハ,Mr.Prospector系,ミラクルレジェンド,FNo.[20],フジキセキ,不明
2015104582,ハービンジャーHarbinger(英),Danzig系,モルトフェリーチェ,FNo.[1-s],ディープインパクト,不明
2015104589,ワークフォースWorkforce(英),Mr.Prospector系,ラカ,FNo.[7],キングカメハメハ,不明
2015104612,ローエングリン,sWells系,レイナクーバ,FNo.[12-b],アグネスタキオン,不明
2015104625,マンハッタンカフェ,Halo系,レディトゥプリーズReadytoPlease(米),FNo.[2-w],MoreThanReady,不明
2015104665,ディープインパクト,Halo系,アパパネ,FNo.[9-f],キングカメハメハ,不明
2015104670,ダイワメジャー,Halo系,アマルフィターナ,FNo.[7-f],シンボリクリスエス,不明
2015104675,ローズキングダム,Mr.Prospector系,アンティフォナ,FNo.[8-d],Songandaprayer,不明
2015104689,ディープインパクト,Halo系,ウィンターコスモス,FNo.[2-r],キングカメハメハ,不明
2015104699,Dansili,Danzig系,ヴィアメディチ,FNo.[4-l],Medicean,不明
2015104707,ハービンジャーHarbinger(英),Danzig系,エイグレット,FNo.[3-l],サンデーサイレンスSundaySilence(米),不明
2015104713,ハーツクライ,Halo系,エリドゥバビロン,FNo.[13-c],Bernstein,不明
2015104714,キングカメハメハ,Mr.Prospector系,エリモピクシー,FNo.[9-f],ダンシングブレーヴDancingBrave(米),不明
2015104721,ディープインパクト,Halo系,オイスターチケット,FNo.[3-l],ウイニングチケット,不明
2015104724,ディープインパクト,Halo系,オーサムフェザーAwesomeFeather(米),FNo.[5-g],AwesomeofCourse,不明
2015104753,ロードカナロア,Mr.Prospector系,クィーンズバーン,FNo.[3-d],スペシャルウィーク,不明
2015104780,ダイワメジャー,Halo系,コンカラン,FNo.[3-i],ジャングルポケット,不明
2015104802,ディープインパクト,Halo系,シャムロッカーShamrocker(新),FNo.[13-a],O'Reilly,不明
2015104810,ディープインパクト,Halo系,シユーマSiyouma(愛),FNo.[12-b],Medicean,不明
